   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   1   16    1   1.799693    10.187954     0.066609      10.1882   50.72589    0.02949    4
   2    7    2   1.798767    34.579122     0.158208      34.5795   50.75387    0.33930    4
   0    5    5   1.797727    11.662173     0.039419      11.6622   50.78530    0.03854    4
   2    3   -4   1.795841   -17.007722    -0.080188      17.0079   50.84244    0.08176    4
   1   12    3   1.795595     9.451065     0.107065      9.45167   50.84990    0.02524    4
   1   14   -3   1.794680   -13.545202    -0.094560      13.5455   50.87767    0.05178    4
   1   11   -4   1.792982   -24.400412    -0.169644       24.401   50.92928    0.16763    4
   2   11   -2   1.790231    21.851492     0.122810      21.8518   51.01317    0.13393    4
   1    5   -5   1.782981    23.635900     0.100670      23.6361   51.23560    0.15515    4
   2    9   -3   1.782268   -32.078282    -0.132108      32.0786   51.25756    0.28550    4
   2   12   -1   1.779101    -7.265686    -0.025959      7.26573   51.35543    0.01458    4
   0   15    3   1.777458     9.077003     0.049731      9.07714   51.40637    0.02271    4
   2    4   -4   1.776894    -2.833188    -0.031068      2.83336   51.42388    0.00221    4
   1   16   -2   1.771936   -11.342815    -0.116949      11.3434   51.57833    0.03520    4
   0   18    1   1.770206   -25.809388    -0.126301      25.8097   51.63245    0.18178    4
   0   12    4   1.768907   -29.488811    -0.132050      29.4891   51.67318    0.23687    4
   0    6    5   1.768128    -1.169199     0.011739      1.16926   51.69760    0.00037    4
   0   17    2   1.767319    24.187568     0.109361      24.1878   51.72303    0.15901    4
   1   17    0   1.766439    -3.574303     0.024876      3.57439   51.75069    0.00347    4
   2   12    0   1.765386    14.012212     0.008183      14.0122   51.78386    0.05322    4
   1   15    2   1.762906    -0.775600     0.003234     0.775606   51.86211    0.00016    4
   1    8    4   1.761302    -0.501046     0.003145     0.501056   51.91286    0.00007    4
   2    8    2   1.758694   -21.012569    -0.118167      21.0129   51.99561    0.11858    4
   1   17   -1   1.757551   -17.383499    -0.081786      17.3837   52.03194    0.08103    4
   1    6   -5   1.754093    14.592855     0.108585      14.5933   52.14224    0.05683    4
   2    5   -4   1.753393   -17.428129    -0.071836      17.4283   52.16460    0.08097    4
   2   11    1   1.749268   -15.924966    -0.102128      15.9253   52.29694    0.06722    4
   0    7    5   1.734964     5.111618     0.075865      5.11218   52.76122    0.00679    4
   2   10   -3   1.733288    48.140583     0.173768      48.1409   52.81617    0.60058    4
   1   12   -4   1.733165    15.506718     0.076115      15.5069   52.82022    0.06230    4
   2   12   -2   1.730679    -4.176292    -0.028923      4.17639   52.90197    0.00450    4
   1   13    3   1.730581    -9.178951     0.024344      9.17898   52.90521    0.02175    4
   2    6   -4   1.725898    33.380774     0.148780      33.3811   53.05996    0.28575    4
   2    1    3   1.722671     8.592355     0.055960      8.59254   53.16715    0.01885    4
   1    7   -5   1.721698    -2.176826    -0.014250      2.17687   53.19957    0.00121    4
   1   15   -3   1.720015     0.279780    -0.005243      0.27983   53.25573    0.00002    4
   1    9    4   1.718787     5.657096     0.063461      5.65745   53.29676    0.00813    4
   2    9    2   1.716363    24.613333     0.121609      24.6136   53.37800    0.15326    4
   2   13   -1   1.715800     9.702857     0.073022      9.70313   53.39688    0.02380    4
   2    2    3   1.715435    -5.286177    -0.057037      5.28648   53.40917    0.00706    4
   1   17    1   1.714768    -1.327625    -0.066524      1.32929   53.43157    0.00045    4
   0   13    4   1.706650   -25.125480    -0.128720      25.1258   53.70608    0.15749    4
   2    3    3   1.703574    -2.136432     0.013646      2.13648   53.81086    0.00113    4
